Temporalmotifs. build: 00:47:59, Apr 20 2018. Time: 00:48:10 [Apr 19 2018]
==========================================================================
usage: temporalmotifsmain
   -i:Input directed temporal graph file (default:'data/tp3/sx-mathoverflow-a2q-tp3.txt')
   -o:Output file in which to write counts (default:'temporal-motif-a2q-tp3.txt')
   -delta:Time window delta (default:1.32188e+09)
   -nt:Number of threads for parallelization (default:4)
1, 29224
2, 0
3, 0
4, 0
7, 33568
11, 0
21, 0
22, 404044
32, 0
40, 0
45, 0
49, 2930827
51, 0
65, 41226
66, 1019499
75, 2287753
78, 1724634
83, 0
93, 0
100, 0
102, 0
110, 0
121, 304263
135, 0
136, 0
143, 0
175, 0
184, 450470
238, 74724
250, 0
262, 0
271, 0
274, 0
284, 262092
288, 0
290, 11035085
293, 0
296, 0
297, 8683758
299, 0
300, 66177
303, 42623
310, 0
317, 147235
318, 616941
321, 0
327, 0
332, 0
340, 0
342, 0
343, 0
344, 186208
345, 0
347, 0
348, 0
349, 109450
351, 175
353, 287556
359, 0
360, 751853
362, 2
370, 0
381, 445797
382, 0
385, 0
391, 1554257
394, 387489
396, 28406
398, 280135
401, 15209
402, 330743
404, 0
405, 76363
406, 28797
416, 3
421, 0
425, 143442
428, 0
429, 27686
430, 0
431, 72046
437, 220260
438, 253082
439, 0
440, 1249851
445, 0
447, 0
450, 0
451, 39027
454, 1433126
459, 0
460, 0
461, 0
467, 0
468, 17
469, 0
477, 0
492, 0
493, 0
498, 0
519, 41821
532, 41811
550, 0
577, 0
582, 115749
586, 21176
587, 0
602, 0
605, 0
613, 1241840
617, 0
622, 75281
630, 386872
644, 72647
651, 0
658, 27973
668, 42898
675, 0
683, 33141
699, 0
703, 69198
707, 0
712, 0
717, 0
728, 0
730, 0
732, 0
733, 0
745, 85086
750, 0
763, 728749
766, 1605123
767, 0
774, 0
778, 94644
785, 0
788, 29270
791, 0
795, 0
797, 0
798, 0
799, 227495
800, 0
801, 515824
802, 0
805, 0
806, 100773
812, 3
824, 0
825, 0
828, 0
840, 0
848, 40960
856, 0
881, 0
889, 0
890, 0
892, 122577
908, 30844
913, 0
919, 0
934, 432832
935, 77691
940, 0
942, 0
943, 33506
947, 0
949, 0
955, 1386030
956, 0
960, 0
961, 0
965, 0
972, 0
973, 0
979, 0
987, 0
1000, 0
1004, 0
1015, 63500
1017, 4
1021, 0
1027, 0
1034, 0
1044, 0
1046, 0
1047, 0
1048, 41607
1049, 0
1050, 17679
1056, 5701112
1058, 19388
1059, 0
1061, 0
1073, 283674
1074, 0
1075, 0
1079, 0
1084, 0
1094, 19666
1096, 0
1098, 89332
1100, 42618
1102, 0
1106, 61189
1107, 66429
1114, 0
1121, 0
1131, 381714
1139, 0
1148, 0
1149, 27166
1161, 0
1162, 532117
1165, 0
1172, 0
1173, 0
1176, 1145321
1184, 0
1186, 0
1190, 0
1197, 0
1198, 0
1223, 0
1227, 0
1228, 0
1229, 0
1231, 0
1233, 0
1234, 0
1238, 0
1243, 0
1245, 8
1261, 103935
1265, 0
1266, 167480
1281, 0
1291, 148857
1302, 5
1305, 83955
1306, 1477102
1310, 2122511
1328, 1
1335, 0
1337, 0
1345, 1167441
1353, 0
1355, 133253
1358, 2191188
1369, 0
1384, 37417
1389, 0
1392, 0
1401, 0
1406, 0
1407, 0
1409, 170624
1437, 0
1441, 2539446
1445, 0
1446, 0
1447, 0
1450, 4
1459, 1862805
1462, 0
1463, 383481
1464, 63565
1465, 134510
1474, 0
1478, 0
1481, 6
1492, 291069
1508, 49850
1516, 0
1521, 1
1532, 3671885
1537, 42580
1539, 0
1540, 85560
1541, 0
1546, 0
1556, 0
1557, 95973
1568, 35926
1570, 0
1573, 444412
1574, 0
1579, 0
1580, 41775
1587, 74087
1590, 0
1593, 0
1610, 0
1619, 0
1645, 38384
1648, 0
1649, 33716
1650, 950393
1651, 0
1657, 0
1662, 0
1664, 0
1674, 0
1680, 0
1681, 41808
1682, 189912
1688, 1070524
1693, 0
1698, 48727
1703, 371523
1710, 0
1715, 0
1716, 0
1724, 0
1737, 202941
1759, 0
1763, 0
1770, 0
1778, 0
1784, 0
1792, 0
1797, 0
1811, 0
1816, 0
1822, 112980
1826, 72135
1832, 37663
1837, 39181
1840, 404873
1841, 0
1847, 739085
1849, 0
1851, 1
1857, 0
1867, 37224
1874, 0
1877, 0
1887, 0
1898, 833728
1907, 0
1916, 0
1946, 11792228
1947, 0
1948, 0
1950, 0
1966, 0
1985, 0
1988, 9
1992, 0
1993, 0
2000, 1325569
2003, 0
2011, 0
2014, 0
2024, 0
2028, 0
2029, 0
2039, 389487
2042, 183178
2046, 0
2051, 659024
2056, 0
2060, 0
2082, 196495
2083, 0
2085, 0
2095, 123110
2097, 0
2106, 4
2117, 0
2126, 0
2138, 0
2147, 0
2149, 0
2158, 41606
2162, 0
2164, 0
2177, 0
2181, 33637
2183, 43045
2189, 0
2191, 231306
2192, 0
2196, 0
2197, 0
2209, 0
2225, 0
2233, 2000718
2234, 112616
2237, 0
2259, 0
2266, 0
2273, 156266
2274, 0
2275, 0
2284, 234710
2290, 1327294
2294, 0
2306, 0
2308, 0
2310, 0
2312, 0
2318, 0
2330, 0
2344, 0
2348, 0
2349, 152639
2356, 0
2361, 0
2362, 1437613
2363, 107955
2381, 0
2383, 240351
2384, 743215
2386, 0
2391, 0
2415, 589594
2416, 0
2418, 0
2436, 0
2467, 0
2480, 83163
2481, 845458
2497, 0
2498, 0
2502, 77781
2503, 79969
2525, 0
2530, 886482
2536, 1
2554, 489989
2555, 0
2570, 0
2575, 454643
2578, 303659
2586, 0
2592, 0
2597, 3
2612, 0
2614, 0
2616, 0
2620, 0
2622, 1256018
2623, 38530
2625, 0
2627, 40903
2628, 0
2631, 0
2641, 39739
2642, 0
2653, 73233
2660, 0
2663, 0
2664, 0
2666, 67829
2669, 0
2672, 490553
2678, 0
