Temporalmotifs. build: 00:45:02, Apr 20 2018. Time: 00:45:16 [Apr 19 2018]
==========================================================================
usage: temporalmotifsmain
   -i:Input directed temporal graph file (default:'data/tp1/sx-mathoverflow-c2q-tp1.txt')
   -o:Output file in which to write counts (default:'temporal-motif-c2q-tp1.txt')
   -delta:Time window delta (default:1.32188e+09)
   -nt:Number of threads for parallelization (default:4)
1, 889544806
2, 31724394
3, 786320196
4, 1178700
7, 41860448
11, 43285556
16, 27907
18, 29221954
22, 485702119
25, 59766784
27, 802829
28, 65356
30, 1652186
32, 2414969
40, 249442
42, 0
44, 0
45, 1594541747
49, 390756448
51, 497606476
55, 0
56, 0
65, 267986849
66, -2123637940
71, 3171351
75, 2394919
78, 403435243
81, 1127201
83, 1379610837
85, 448730
88, 873744
92, 27296478
93, 2241020
96, 7241741
98, 5400982
100, 1070921
102, 9680538
107, 1016803
109, 13177776
110, 0
111, 8164514
121, -631355744
126, 0
132, 1127373
135, 76864787
136, 1633420
140, 1747744
142, 997932
143, 341089586
146, 1
152, 0
158, 4581826
171, 0
175, 31572357
179, 18829172
180, 0
182, 0
184, 166263531
200, 0
202, 0
211, 3241150
231, 0
238, 177899572
239, 15877087
250, 95162040
259, 30080057
261, 0
262, 22390305
266, 124711
269, 0
271, 9433561
284, 32185552
288, 12573095
290, -395425895
296, 2693654
297, -1761750243
299, 43898925
300, 3318049
302, 53213066
303, 157212668
307, 3384184
310, 8330565
317, 1054214836
318, 45627104
321, 57968974
324, 0
327, 0
332, 8451033
333, 0
336, 130909
337, 1
339, 0
342, 1379061
343, 53444890
344, 466417208
345, 3778700
346, 2550032
347, 0
348, 515794535
349, 4464580
350, 237194011
351, 3957017
353, 817710935
358, 3619925
359, 1065823
360, 589279464
361, 4105710
362, 33905010
363, 10113008
367, 777875
370, 351163416
371, 0
373, 4907565
377, 2059723
379, 10887536
380, 15545323
381, 29106637
382, 183458438
385, 62976197
386, 4662573
389, 0
391, 732322899
394, 2146355523
396, 7159580
397, 10138515
398, 61731502
401, 8777972
402, 116500432
404, 18874851
405, 3888718
406, 314172726
408, 14052965
412, 12091997
416, 47147848
417, 0
421, 12826235
422, 4593008
424, 1716054
425, 69073406
426, 725538
428, 1167691
429, 30517723
430, 124438218
431, 433766516
434, 18315760
435, 3243133
436, 724877
437, 203880140
438, 3729214
439, 0
440, 62454081
441, 9356780
445, 0
447, 31830694
448, 1622441
450, 791715463
451, 187952053
454, 1289466684
456, 0
458, 0
460, 36242196
461, 148610103
462, 1032497
467, 0
468, 6008039
469, 18723049
473, 5407434
477, 0
478, 4607548
482, 0
484, 1448206
490, 559579
491, 435784
492, 4633009
493, 2915886
494, 7659653
498, 0
507, 12975238
509, 3804863
519, 212780422
532, 21763614
538, 0
539, 724875
540, 220934
550, 0
556, 3240482
558, 0
565, 220955
577, 83299222
580, 0
582, 51399100
586, 489330156
602, 1165180
605, 14156607
607, 2
613, 976433150
618, 224369
619, 14561245
621, 0
622, 607042969
625, 22
630, 3721230
634, 12972322
644, 35425657
658, 2781438
660, 0
667, 0
668, 0
669, 853671
673, 0
674, 0
675, 2176333
683, 19530773
685, 0
686, 0
689, 23328555
692, 1519834
695, 9394734
703, 56519103
707, 4765982
709, 4369594
717, 114796678
728, 0
730, 0
732, 1783576
733, 52375427
737, 4174403
745, 64639307
750, 209571727
756, 97357814
757, 11883066
761, 0
763, -331782443
766, 60497015
767, 15855761
768, 229671
773, 1378204
774, 510923
778, 1144595
781, 0
785, 1719800
788, 14595839
792, 4001981
797, 5019687
798, 44010306
799, 11083416
800, 19406080
801, 2199929
802, 409845082
806, 38928054
807, 7864248
808, 700160
812, 27403025
813, 19186142
814, 1123735
818, 0
823, 0
824, 34870636
825, 747612
828, 761190458
836, 0
840, 34526229
848, 21600283
855, 264336
865, 0
866, 7081097
868, 0
873, 0
874, 0
877, 0
887, 0
894, 1579162
896, 0
908, 4350433
910, 0
911, 0
913, 11335036
914, 17984058
915, 0
916, 41955603
917, 0
918, 0
919, 4793826
924, 0
926, 1708887
927, 11494299
928, 0
930, 16277725
932, 21769199
934, 147883528
935, 410719170
936, 5228341
940, 1
942, 162419690
943, 451503642
947, 6902467
955, 101479863
956, 11665744
960, 29113711
961, 1070797
962, 1
966, 515659
970, 7185059
972, 125735236
973, 7246846
979, 11351134
984, 3136780
986, 5126890
987, 2001637
996, 2729049
997, 1041187
1000, 9
1004, 222287044
1013, 0
1015, 5103413
1017, 17964172
1018, 14028242
1019, 12925655
1020, 0
1021, 53894410
1028, 9762074
1035, 7200513
1037, 657298
1038, 0
1040, 34233591
1042, 8784250
1044, 285643432
1046, 3136856
1047, 172145955
1048, 14724851
1049, 19071932
1050, 207509234
1053, 0
1055, 0
1056, 42747446
1058, 7720097
1059, 0
1060, 8000068
1061, 60999242
1068, 338974
1071, 0
1073, 44059642
1074, 7617692
1079, 46283230
1084, 3689949
1086, 0
1090, 2
1093, 0
1094, 14537866
1095, 94855185
1096, 3770705
1098, 3443367
1102, 3378082
1104, 0
1106, 559215054
1107, 338990165
1109, 9
1114, 263516984
1116, 0
1119, 433384146
1121, 71808920
1123, 6668126
1124, 0
1125, 777835
1131, 586270938
1137, 283101
1142, 1810555
1143, 1131843
1148, 55022952
1149, 876604590
1150, 0
1161, 1752189
1162, 836465
1164, 1456596
1168, 8458878
1169, 419518
1170, 4326000
1171, 35496598
1172, 13402967
1173, 3624680
1176, 222538732
1177, 0
1178, 583532
1179, 0
1182, 0
1184, 0
1185, 1738589
1186, 32603440
1189, 4191300
1191, 0
1192, 0
1193, 300442
1197, 6
1198, 7098459
1202, 16322514
1220, 1750664
1222, 2
1223, 46415874
1224, 0
1227, 925357
1228, 9727227
1229, 26337721
1231, 2582268
1233, 66844389
1234, 12510930
1238, 70693098
1243, 8
1245, 37759721
1246, 12334852
1253, 20625260
1256, 1296505
