Temporalmotifs. build: 00:46:17, Apr 20 2018. Time: 00:46:33 [Apr 19 2018]
==========================================================================
usage: temporalmotifsmain
   -i:Input directed temporal graph file (default:'data/tp2/sx-mathoverflow-c2a-tp2.txt')
   -o:Output file in which to write counts (default:'temporal-motif-c2a-tp2.txt')
   -delta:Time window delta (default:1.32188e+09)
   -nt:Number of threads for parallelization (default:4)
1, 11446184
2, 2789202
3, 54828324
4, 2
7, 2732347
11, 0
22, 197490994
25, 8
27, 0
32, 13552949
37, 0
40, 19855968
45, 192836012
49, 637070777
50, 0
51, 8599384
65, 4261380
66, 234578085
75, 848509846
78, 368860954
83, 14328355
88, 21
93, 2
98, 0
100, 19438279
102, 74837891
109, 11963163
110, 0
111, 2445974
121, 1575594019
136, 50727754
140, 0
142, 0
143, 24727511
175, 2499618
184, 264313483
238, 386927955
239, 5637916
250, 80481040
255, 0
259, 9632703
261, 0
262, 0
271, 5513607
274, 0
284, 227255798
288, 5585770
290, -1199385917
297, -1173689822
299, 88195881
302, 4179231
303, 17853969
307, 0
310, 7848141
317, 666638207
318, 43959965
321, 12874822
324, 0
327, 0
332, 0
333, 5069363
339, 9
343, 4360473
344, 381976509
345, 11474372
346, 10305726
348, 5595754
349, 7449873
350, 2787754
351, 21760610
353, 72424040
359, 0
360, 415143894
362, 0
367, 2924576
370, 867960
373, 0
377, 0
379, 14093980
380, 0
381, 360394578
382, 10665942
385, 5190134
386, 0
389, 0
391, 508504526
394, 19493300
396, 168265666
397, 0
398, 78494895
401, 2
402, 190158772
404, 47
405, 38865537
406, 104133221
408, 2386766
412, 0
416, 0
421, 0
422, 0
424, 19418191
425, 2577389
426, 0
428, 8331810
430, 138072014
431, 498477913
434, 0
437, 209168065
439, 6472729
440, 13974023
441, 0
445, 0
447, 25787808
448, 0
450, 454492792
451, 47625776
454, 1803054896
458, 0
460, 23799696
461, 13879581
462, 0
463, 0
468, 23800292
469, 0
473, 5359358
477, 2622373
484, 6
491, 0
492, 3
493, 2581471
507, 0
509, 0
519, 21921533
532, 7678499
556, 828423
558, 1
571, 0
577, 0
580, 0
582, 206449275
586, 901102849
602, 0
605, 3028810
613, 1244868278
619, 0
622, 18
630, 305742018
634, 0
643, 0
644, 298015678
651, 0
658, 19359580
674, 0
675, 5504637
683, 152251424
689, 2954137
699, 0
703, 384179935
709, 2681534
717, 0
728, 0
730, 2880724
732, 0
733, 77240015
734, 0
744, 0
745, 112678563
749, 0
750, 14
756, 2
757, 0
763, -1955959381
766, 969758769
767, 0
778, 44209286
784, 0
785, 2916291
791, 16320815
797, 0
800, 0
801, 511026542
802, 7
806, 61388130
812, 0
818, 0
824, 122853781
825, 0
827, 2918876
828, 12851017
838, 0
840, 2508423
848, 13662067
865, 0
874, 0
881, 1
889, 10
890, 3036853
908, 0
910, 0
913, 0
914, 0
915, 2933312
916, 0
919, 11729449
927, 0
930, 0
932, 2691864
933, 0
934, 3349565
935, 444731339
938, 0
943, 432760303
947, 16
949, 3
950, 0
952, 0
955, 326913519
956, 36175149
960, 2867325
961, 0
965, 0
970, 2681533
972, 4363711
979, 0
986, 6
987, 0
992, 0
1000, 0
1004, 175551368
1005, 6
1015, 5734573
1017, 23179612
1018, 0
1021, 88684711
1023, 0
1028, 2757094
1037, 0
1040, 49811767
1041, 2
1042, 0
1044, 245006007
1046, 2919555
1047, 0
1048, 2691962
1049, 14042638
1050, 115272198
1055, 8853273
1056, 208156882
1058, 3057296
1059, 7585245
1060, 0
1061, 170081418
1068, 1282021
1073, 0
1074, 2717142
1079, 4698853
1084, 0
1094, 44852938
1095, 0
1096, 182771452
1098, 7873617
1100, 6392082
1102, 0
1104, 0
1106, 576422436
1107, 4824510
1109, 4394804
1114, 16689392
1119, 5218065
1121, 0
1123, 0
1131, 1277230452
1143, 10765360
1146, 0
1148, 5799741
1149, 558884736
1150, 0
1162, 192780095
1168, 0
1171, 3
1172, 0
1176, 1549606927
1179, 27842363
1182, 0
1185, 0
1186, 2732351
1190, 85988486
1193, 0
1198, 55399725
1199, 3037219
1202, 0
1220, 0
1223, 50307652
1227, 5369333
1229, 0
1231, 2570144
1233, 7625902
1234, 0
1238, 0
1243, 0
1246, 0
1249, 0
1256, 2820819
1261, 52699845
1266, 393900956
1272, 0
1281, 2797998
1291, 121167701
1302, 12
1306, 415445272
1310, 1063660198
1320, 2578806
1322, 0
1327, 0
1328, 14499551
1335, 59066438
1345, 1484087184
1353, 36508267
1355, 372286668
1358, 158704362
1360, 0
1375, 0
1378, 9055547
1384, 117933614
1400, 8854567
1409, -1523712555
1423, 0
1434, 0
1437, 85861208
1441, 1621768972
1446, 138385945
1450, 303200112
1459, 84490678
1463, 526144871
1464, 61649706
1465, 1121468857
1467, 0
1474, 23897856
1478, 2751910
1481, 31191856
1483, 98554652
1492, 78389176
1508, 15747316
1516, 6126536
1528, 21587261
1532, 464045815
1536, 0
1537, 0
1539, 0
1540, 83475757
1546, 18839242
1547, 0
1557, 38457397
1568, 5431246
1573, 480323727
1579, 0
1580, 1
1585, 0
1587, 56738429
1589, 2807866
1590, 7234991
1593, 223690258
1599, 0
1606, 0
1610, 2547041
1618, 0
1619, 0
1622, 2549982
1631, 18670392
1636, 0
1645, 0
1648, 8583516
1649, 34019596
1650, 117426139
1657, 0
1662, 0
1666, 0
1674, 24796735
1680, 0
1682, 146530610
1688, 142054101
1698, 3
1703, 23945541
1708, 5
1713, 0
1715, 8114241
1729, 7437244
1737, 21738430
1744, 0
1770, 0
1777, 0
1784, 5293359
1785, 0
1797, 10788585
1805, 0
1811, 5149889
1816, 8756640
1822, 6
1826, 23650535
1832, 3245904
1837, 0
1840, 12722209
1841, 2213670
1847, 122916304
1849, 0
1851, 0
1859, 0
1862, 0
1874, 7010883
1877, 0
1878, 0
1884, 6
1887, 25642209
1888, 0
1894, 2528486
1898, 599852627
1907, 6
